id_igre,imena,rating,rezultat,st_potez,leto,poteze
16049920,Magnus Carlsen vs. Wesley So,"(2881) , (2741)",&frac12;-&frac12;,29,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6
16052736,Wesley So vs. Magnus Carlsen,"(2816) , (2886)",0-1,36,2021,1. e4 c5 2. Nf3 d6 3. Bb5+ Nd7
16032779,Hikaru Nakamura vs. Magnus Carlsen,"(2736) , (2847)",&frac12;-&frac12;,38,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6
16031499,Santosh Gujrathi Vidit vs. Magnus Carlsen,"(2726) , (2847)",&frac12;-&frac12;,75,2021,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
16084744,Etienne Bacrot vs. Magnus Carlsen,"(2678) , (2847)",0-1,44,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6
16083462,Andrey Esipenko vs. Magnus Carlsen,"(2716) , (2847)",&frac12;-&frac12;,36,2021,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5
16032773,Hikaru Nakamura vs. Magnus Carlsen,"(2736) , (2847)",0-1,39,2021,1. d4 d5 2. c4 e6 3. Nc3 a6
16045828,Daniil Dubov vs. Magnus Carlsen,"(2710) , (2847)",0-1,41,2021,1. d4 d5 2. c4 c5 3. Nf3 cxd4
16069636,Levon Aronian vs. Magnus Carlsen,"(2778) , (2881)",&frac12;-&frac12;,28,2021,1. e4 c5 2. Nf3 Nc6 3. Bb5 g6
16111616,Vladislav Artemiev vs. Magnus Carlsen,"(2757) , (2881)",1-0,38,2021,1. Nf3 c5 2. c4 Nf6 3. g3 Nc6
16052736,Wesley So vs. Magnus Carlsen,"(2816) , (2886)",0-1,36,2021,1. e4 c5 2. Nf3 d6 3. Bb5+ Nd7
16025401,Daniil Dubov vs. Magnus Carlsen,"(2710) , (2847)",&frac12;-&frac12;,77,2021,1. d4 d5 2. c4 c6 3. Nf3 Nf6
16089412,Vladimir Fedoseev vs. Magnus Carlsen,"(2700) , (2847)",0-1,41,2021,1. d4 Nf6 2. c4 g6 3. h4 Bg7
16068672,Wesley So vs. Magnus Carlsen,"(2816) , (2886)",&frac12;-&frac12;,68,2021,1. d4 d5 2. c4 e6 3. Nc3 a6
16120894,Jelle Sarrau vs. Magnus Carlsen,"(2374) , (2855)",0-1,91,2021,1. c4 e5 2. g3 Nf6 3. Bg2 h6
16111676,Vladislav Artemiev vs. Magnus Carlsen,"(2755) , (2842)",&frac12;-&frac12;,49,2021,1. e4 c5 2. g3 d5 3. exd5 Qxd5
16105532,Vladislav Artemiev vs. Magnus Carlsen,"(2757) , (2881)",&frac12;-&frac12;,39,2021,1. c4 g6 2. d4 Nf6 3. Nf3 Bg7
16084028,Andrey Esipenko vs. Magnus Carlsen,"(2628) , (2881)",1-0,64,2021,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5
15792955,Maxime Vachier-Lagrave vs. Magnus Carlsen,"(2784) , (2862)",1-0,51,2021,1. e4 c5 2. Nf3 Nc6 3. Bb5 e6
15792443,Wesley So vs. Magnus Carlsen,"(2770) , (2862)",1-0,53,2021,1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7
16070458,Ding Liren vs. Magnus Carlsen,"(2788) , (2886)",&frac12;-&frac12;,39,2021,1. d4 Nf6 2. c4 e6 3. g3 d5
15792951,Maxime Vachier-Lagrave vs. Magnus Carlsen,"(2784) , (2862)",1-0,31,2021,1. e4 c5 2. Nf3 Nc6 3. Bb5 e6
16104492,Alireza Firouzja vs. Magnus Carlsen,"(2696) , (2881)",1-0,35,2021,1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5
15792435,Matthias Bluebaum vs. Magnus Carlsen,"(2670) , (2862)",0-1,57,2021,1. d4 d5 2. Nf3 e6 3. e3 Nf6
15791411,Jorden van Foreest vs. Magnus Carlsen,"(2671) , (2862)",&frac12;-&frac12;,59,2021,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6
16031795,Teimour Radjabov vs. Magnus Carlsen,"(2765) , (2847)",&frac12;-&frac12;,40,2021,1. d4 Nf6 2. c4 e6 3. Nf3 d5
